image_id, image_url, questions, keyword
43621fbd4ac84851bd48377dfc26ef82_request_5746,https://farm6.staticflickr.com/5572/30587802905_8e2d2c68de_o.jpg,When were these buildings built?---What is this kind of architecture called?---Who designed this building?---What city are these buildings in?---How long ago were these built?---Does anyone live in these buildings?---Have the interiors been preserved as well?---How tall is the round tower in the back,Tower 42
43621fbd4ac84851bd48377dfc26ef82_request_5706,https://farm9.staticflickr.com/8820/29138123756_d477e494b0_o.jpg,What kind of trees are those---Is that a building or is it a hill---Where is this,Domus Aurea
43621fbd4ac84851bd48377dfc26ef82_request_6590,https://farm4.staticflickr.com/3908/14615680570_9e8d457cfe_o.jpg,How tall is that door?---Where can I get a jacket like that?---What is that white appliance in the bottom left?---Whose house is this?---Is this someone's laundry room?---What are those bottles on the shelf?,Miller Park
43621fbd4ac84851bd48377dfc26ef82_request_1179,https://farm1.staticflickr.com/776/21224811385_98a217514b_o.jpg,What material is the blue railing made of---Is that a hiking trail---Can I bring my dog there,Kylemore Abbey
43621fbd4ac84851bd48377dfc26ef82_request_6021,https://farm8.staticflickr.com/7300/10416790776_c323ae45d0_o.jpg,What motorcycle brand is this---Is this a scooter or a motorcycle---Can I purchase this,Primrose Hill
43621fbd4ac84851bd48377dfc26ef82_request_5112,https://farm1.staticflickr.com/60/224343364_2424fe04ff_o.jpg,When was this built?---Who built this?---What type of architecture is this?---When was this built---How tall is that---Can I go there for free---How tall is it?---When was it built?---Where is it located?,Westminster Cathedral
43621fbd4ac84851bd48377dfc26ef82_request_2659,https://farm5.staticflickr.com/4325/35707492060_e41ce00649_o.jpg,When was this built?---Where is this?---How tall is this?,York Minster
43621fbd4ac84851bd48377dfc26ef82_request_2739,https://farm5.staticflickr.com/4751/39531659274_ff0d7bee1b_o.jpg,Is this market expensive---What city is this in---Is it open late---Is there food there?---Do they serve alcohol there?---Do they serve coffee there?---What are the operating hours of this market---What is the address of this market---What is the contact information for this market,Camden Market
43621fbd4ac84851bd48377dfc26ef82_request_6509,https://farm9.staticflickr.com/8135/29422637143_190fcae999_o.jpg,When was this mall built?---What do they sell here?---How many people visit here a day?---Is it free to go here?---What state is this in?---Is this a public space?---What shops are here?---How do I get here?---Where is this located?---Is it really bright there?---Is this a good place to watch the stars?,Fremont Street Experience
43621fbd4ac84851bd48377dfc26ef82_request_4135,https://farm9.staticflickr.com/8191/8115193654_18819d4229_o.jpg,How tall are these mountains---Who cold is this place---Where is this---What's the name of this mountain?---How tall is this mountain?---Where is this?,Khardung La
43621fbd4ac84851bd48377dfc26ef82_request_4759,https://farm6.staticflickr.com/5042/5308066819_e19073a20d_o.jpg,What beach is this?---Where is this?---Is there a pattern on the sand?---Does this beach have hours?---None---None---What country is this in?---Is it open to the public?---Is the weather warm here,Santa Monica Pier
43621fbd4ac84851bd48377dfc26ef82_request_3129,https://farm6.staticflickr.com/5326/10149966213_1315f1710c_o.jpg,Who painted this?---Who is featured in this art piece?---How old is this wall decoration?---Who painted this?---Where is this located?---How long ago was this painted?---Is this a scene from a religious story?---Who is the figure in the center?---Who is sitting at the table?---What is the name of this painting?---Who painted this?---Where can I see this painting?,paintings
43621fbd4ac84851bd48377dfc26ef82_request_5017,https://farm9.staticflickr.com/8081/8324298904_ae91f8db4f_o.jpg,Where is this tower located?---How tall is this?---What year was this constructed?---Where is this?---When was this made?---Is it open to the public?,Canton Tower
43621fbd4ac84851bd48377dfc26ef82_request_546,https://farm6.staticflickr.com/5181/5687805386_aba9ea4565_o.jpg,Is this garden also a restaurant?---Is this a public space?---Where is this located---Where is this---How big is this place---What type of meals are served here---How do you set up a rooftop garden?---How do roof gardens work?---Why are roof gardens good?,roof garden
43621fbd4ac84851bd48377dfc26ef82_request_5005,https://farm1.staticflickr.com/651/21525438580_e6505015b6_o.jpg,Is parking there free---Can I get there on public transit---Are tours offered there---How long is this wall?---How much did it cost to build?---Is it open to the public?---Is this structure made from stone?---What year was this structure made?---Is this a popular tourist destination?,Caernarfon Castle
43621fbd4ac84851bd48377dfc26ef82_request_28,https://farm4.staticflickr.com/3716/11907618633_67920389fa_o.jpg,What is this building called?---Where is this building located?---What is this building used for?---What is this kind of architecture called?---Who uses this building?---Where is this?---Is this open to the public?---Is this free to visit?,mausoleum
43621fbd4ac84851bd48377dfc26ef82_request_1516,https://farm7.staticflickr.com/6179/6176313742_23814e8913_o.jpg,How tall is that middle light house---Is that a photo or a painting---What material is the middle light house made of---What is this edifice?---Is there good fishing in this lake?---When is the best time to visit here?,Glenfinnan Viaduct
43621fbd4ac84851bd48377dfc26ef82_request_5156,https://farm4.staticflickr.com/3910/14247082860_1e18a5a901_o.jpg,When was this place completed?---Can I get a map of this building?---When does this place close tomorrow?---How many people have their name on display here?,Yad Vashem
43621fbd4ac84851bd48377dfc26ef82_request_2981,https://farm3.staticflickr.com/2393/1536317268_ceaac0faaa_o.jpg,What is being made?---What type of tool is being used?---Are gloves necessary for this type of work?---Where is that chisel made?---How much does that air chisel cost?---Where can I buy that air chisel?,bronze sculpture
43621fbd4ac84851bd48377dfc26ef82_request_5925,https://farm2.staticflickr.com/1654/25027314886_98c580cc78_o.jpg,What street is this?---Where is this?---What is that sign for?---What's the logo on that sign?,Skogskyrkogården
43621fbd4ac84851bd48377dfc26ef82_request_1641,https://farm4.staticflickr.com/3694/10410417445_e2fa1137f3_o.jpg,What is the significance of the Temple Mount?---Can you visit Temple Mount?---What is on the Temple Mount today?,Temple Mount
43621fbd4ac84851bd48377dfc26ef82_request_1501,https://farm1.staticflickr.com/705/20420938039_3a5e631c92_o.jpg,How much does the Eastern State Penitentiary cost?---Who was held in Eastern State Penitentiary?---Is Eastern State Penitentiary open to the public?,Eastern State Penitentiary
43621fbd4ac84851bd48377dfc26ef82_request_2448,https://farm5.staticflickr.com/4492/37840174596_5aa62c4058_o.jpg,Where is this located?---Who built this?---When was it built?,Rosslyn Chapel
43621fbd4ac84851bd48377dfc26ef82_request_234,https://farm8.staticflickr.com/7199/14000448641_7fffc1b48d_o.jpg,What kind of flower is this?---Where do these flowers grow?---What year do these flowers usually bloom?---When kind of flower is that---Can I get these at a store---Are these local---what kind of flower is this---where does this flower grow---what season does this flower grow in,lagoon
43621fbd4ac84851bd48377dfc26ef82_request_2719,https://farm8.staticflickr.com/7419/9432495346_2e8071f1df_o.jpg,How many people does this stadium hold?---Does that ceiling open up?---Does this place host any other events?---how many people are in this stadium---what sports are played at this stadium---who paid for this stadium---What sports do they play in this field?---Are there any concerts held in this field?---How much is it to get into here?,Chase Field
43621fbd4ac84851bd48377dfc26ef82_request_626,https://farm3.staticflickr.com/2113/1923029706_4280470485_o.jpg,Where is this---Can I live there---How much does that cost---Do people live here?---Can I enter this building?---What's the address of this building?,oast house
43621fbd4ac84851bd48377dfc26ef82_request_6699,https://farm5.staticflickr.com/4469/37425658731_e66a08383b_o.jpg,When were those statues made?---What does each of those stand for?---How heavy is one of those statues?,Tian Tan Buddha
43621fbd4ac84851bd48377dfc26ef82_request_4203,https://farm4.staticflickr.com/3939/15485629946_7a9a66f109_o.jpg,Where is this?---What did this used to say?---What is this plaque made of?---What is that metal piece in the middle  for---How old is that---What kind of stone is that embedded in,Mount Whitney
43621fbd4ac84851bd48377dfc26ef82_request_6075,https://farm9.staticflickr.com/8579/29000405146_efef26f94e_o.jpg,Who is the man in the picture in the middle---What culture do the little lion statues on the fireplace come from---Where are these paintings kept,Blenheim Palace
43621fbd4ac84851bd48377dfc26ef82_request_4217,https://farm8.staticflickr.com/7313/16491401085_e053636aaf_o.jpg,Can you translate this tablet?---Is this in hieroglyphics?---How much does it cost to see this?---what type of art is this---how old is this piece---how much does it cost to go sea this,British Museum
43621fbd4ac84851bd48377dfc26ef82_request_4837,https://farm8.staticflickr.com/7629/28104478805_d449029c9b_o.jpg,Who designed this staircase?---How long did this take to make?---What's the address of this building?---What kind of tile is that?---When was this built?---How many steps are there?---What city is this in?---What businesses are located here?,Eisenhower Executive Office Building
43621fbd4ac84851bd48377dfc26ef82_request_5790,https://farm3.staticflickr.com/2532/3802996011_c3bfa1861a_o.jpg,What is the significance of this place?---Is there a speed limit here?---What time of the year does it rain here?---Where is this located?---What kind of car is that?,Rohtang Pass
43621fbd4ac84851bd48377dfc26ef82_request_541,https://farm5.staticflickr.com/4111/4996317568_b8129b27ba_o.jpg,Where is this---What kind of plants are growing here---Does anybody own this place---What kind of plants are these?---How old is this building?---Who built this?---Are these ruins?---What country is this in?---What was this building once used for?---Do people still visit this place?,roof garden
43621fbd4ac84851bd48377dfc26ef82_request_1550,https://farm8.staticflickr.com/7865/46424809931_9c6d11ff84_o.jpg,Can you find me hotels near here?---What's the next show happening here?---What would a flight to get here cost?---How much is Tokyo Dome?---Is Tokyo Dome air conditioned?---What time does Tokyo Dome open?---What events go on here?---Who built it?---How much are tickets?,Tokyo Dome
43621fbd4ac84851bd48377dfc26ef82_request_3588,https://farm8.staticflickr.com/7309/12930662053_3d2d4e95ff_o.jpg,What kind of architecture is this?---Who sculpted this?---What person is depicted here?,Covent Garden
43621fbd4ac84851bd48377dfc26ef82_request_276,https://farm5.staticflickr.com/4117/4912943416_99bed955d6_o.jpg,How often does it snow here?---How cold is it?---Where was this taken?---Where is this located?---What is the temperature here?---Can I swim here?---Where is this place?---What time of year was this taken?---Does it snow here?---],crevasse
